# Step   Time     sin1        cos1        sin2        cos2        h1          h2 
0  0.0000    0.198669    0.980067    0.295520    0.955336    0.019933    0.064597
1   0.1000    0.296069    0.955167    0.551914    0.833901    0.044833    0.210932
2   0.2000    0.404363    0.914599    0.713851    0.700298    0.085401    0.385103
3   0.3000    0.510702    0.859758    0.797053    0.603909    0.140242    0.536333
4   0.4000    0.596432    0.802663    0.829852    0.557983    0.197337    0.639354
5   0.5000    0.649764    0.760136    0.831380    0.555705    0.239864    0.684160
6   0.6000    0.665773    0.746154    0.810637    0.585549    0.253846    0.668296
7   0.7000    0.642265    0.766483    0.769745    0.638351    0.233517    0.595166
8   0.8000    0.577380    0.816475    0.705859    0.708353    0.183525    0.475172
9   0.9000    0.471576    0.881826    0.611385    0.791334    0.118174    0.326841
10   1.0000    0.332254    0.943190    0.474523    0.880243    0.056810    0.176567
11   1.1000    0.174973    0.984573    0.284780    0.958593    0.015427    0.056834
12   1.2000    0.016237    0.999868    0.046917    0.998899    0.000132    0.001233
13   1.3000   -0.136953    0.990577   -0.206245    0.978500    0.009423    0.030922
14   1.4000   -0.285455    0.958392   -0.427697    0.903922    0.041608    0.137686
15   1.5000   -0.424520    0.905419   -0.590756    0.806850    0.094581    0.287731
16   1.6000   -0.541005    0.841020   -0.698264    0.715841    0.158980    0.443140
17   1.7000   -0.622759    0.782414   -0.765587    0.643333    0.217586    0.574254
18   1.8000   -0.664572    0.747225   -0.806026    0.591881    0.252775    0.660895
19   1.9000   -0.666213    0.745761   -0.826501    0.562935    0.254239    0.691303
20   2.0000   -0.628713    0.777637   -0.827726    0.561133    0.222363    0.661229
21   2.1000   -0.554309    0.832311   -0.803930    0.594724    0.167689    0.572964
22   2.2000   -0.450116    0.892970   -0.740917    0.671596    0.107030    0.435433
23   2.3000   -0.331533    0.943443   -0.614481    0.788932    0.056557    0.267625
24   2.4000   -0.218982    0.975729   -0.397738    0.917499    0.024271    0.106772
25   2.5000   -0.119578    0.992825   -0.095351    0.995444    0.007175    0.011731
26   2.6000   -0.005784    0.999983    0.214680    0.976684    0.000017    0.023332
27   2.7000    0.150422    0.988622    0.444890    0.895585    0.011378    0.115793
28   2.8000    0.337643    0.941274    0.575965    0.817475    0.058726    0.241251
29   2.9000    0.517294    0.855808    0.636254    0.771479    0.144192    0.372713
30   3.0000    0.651295    0.758825    0.665699    0.746220    0.241175    0.494955
31   3.1000    0.724355    0.689427    0.692150    0.721754    0.310573    0.588819
32   3.2000    0.739618    0.673027    0.724163    0.689629    0.326973    0.637344
33   3.3000    0.700954    0.713207    0.758483    0.651693    0.286793    0.635100
34   3.4000    0.609462    0.792816    0.783770    0.621051    0.207184    0.586133
35   3.5000    0.473187    0.880962    0.781233    0.624240    0.119038    0.494798
36   3.6000    0.312798    0.949820    0.726981    0.686658    0.050180    0.363522
37   3.7000    0.160599    0.987020    0.587109    0.809508    0.012980    0.203472
38   3.8000    0.054003    0.998541    0.319843    0.947470    0.001459    0.053989
39   3.9000    0.004536    0.999990   -0.069744    0.997565    0.000010    0.002445
40   4.0000   -0.057863    0.998325   -0.432618    0.901577    0.001675    0.100098
41   4.1000   -0.183735    0.982976   -0.658383    0.752683    0.017024    0.264341
42   4.2000   -0.353243    0.935531   -0.760896    0.648874    0.064469    0.415595
43   4.3000   -0.526082    0.850434   -0.782885    0.622166    0.149566    0.527400
44   4.4000   -0.666054    0.745904   -0.757212    0.653169    0.254096    0.600927
45   4.5000   -0.750406    0.660978   -0.713010    0.701154    0.339022    0.637869
46   4.6000   -0.775829    0.630943   -0.672128    0.740435    0.369057    0.628622
47   4.7000   -0.743273    0.668988   -0.645411    0.763835    0.331012    0.567177
48   4.8000   -0.644345    0.764735   -0.636538    0.771245    0.235265    0.464020
49   4.9000   -0.473547    0.880769   -0.632199    0.774806    0.119231    0.344425
50   5.0000   -0.257066    0.966394   -0.590952    0.806706    0.033606    0.226900
51   5.1000   -0.046428    0.998922   -0.464497    0.885575    0.001078    0.115503
52   5.2000    0.107791    0.994174   -0.213298    0.976987    0.005826    0.028839
53   5.3000    0.180872    0.983507    0.159973    0.987121    0.016493    0.029372
54   5.4000    0.223589    0.974683    0.524583    0.851360    0.025317    0.173957
55   5.5000    0.303974    0.952680    0.753278    0.657702    0.047320    0.389617
56   5.6000    0.415159    0.909749    0.861670    0.507470    0.090251    0.582781
57   5.7000    0.526782    0.850000    0.899837    0.436226    0.150000    0.713773
58   5.8000    0.617105    0.786881    0.897832    0.440338    0.213119    0.772781
59   5.9000    0.675834    0.737054    0.865326    0.501209    0.262946    0.761737
60   6.0000    0.698194    0.715909    0.803343    0.595517    0.284091    0.688574
